来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 May 4,Digital twins of ex vivo human lungs enable accurate and personalized evaluation of therapeutic efficacy.,"Zhou X, Wang B, Wei Y, Hacker S, Kim S, Borrillo T, McCaig A, Ahmed H, Ren Y, Hough O, Orsini L, Chao BT, McInnis M, Cypel M, Liu M, Yeung JC, Del Sorbo L, Keshavjee S, Sage AT",https://doi.org/10.1038/s41587-026-03121-4
PubMed,2026 May 4,Multimodal deep learning model for multiclass classification of renal tumors.,"Luo S, Quan Q, Yang R, Li C, Yao J, Tang F, Wang Y, Zhou KS, Liu J",https://doi.org/10.1038/s41746-026-02697-0
PubMed,2026 May 4,Incorporating valuable prior knowledge to improve deep learning prediction of genetic perturbation responses.,"Fu X, Yang C, Cui C, Geng A, Sun Y, Zha C, Cui F, Wei L, Zou Q, Gao X, Zhang Z",https://doi.org/10.1101/gr.281523.125
