来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 Jul 11,Unlocking Lewis-Acid Catalysis and Crystalline Polyselenide Evolution for Ultra-Stable Sodium-Ion Batteries.,"Zhong Y, Li W, Liang Z, Zhang W, Tan H, Xie S, Huang Y, Liu Y, Peng J, Xiong S, Huang S",https://doi.org/10.1002/adma.74019
PubMed,2026 Jul 10,DRIVE: a comprehensive resource deciphering drug-induced transcriptomic and splicing response in cancer cell.,"Wu T, Tang HF, Wang WL",https://doi.org/10.1016/j.neo.2026.101336
PubMed,2026 Jul 10,Virtual cell construction for artificial intelligence-driven drug discovery.,"Jia Y, Xing X, Han H, Zhao Y, Zhou S, Chen J",https://doi.org/10.1111/bph.70585
