来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 Apr 30,"Recapitulation of clinical and molecular hallmarks of lipid-induced hepatic insulin resistance in a zonated, vascularized human liver acinus microphysiological system during metabolic dysfunction-associated steatotic liver disease (MASLD) progression.","Aleman J, Vernetti L, Schurdak ME, DeBiasio R, LaRocca G, Yechoor VK, Taylor DL, Stern AM, Miedel MT",https://doi.org/10.1186/s12896-026-01158-6
PubMed,2026 May,Revisiting the blueprint for an interpretable virtual cell.,Wu AR,https://doi.org/10.1038/s41576-026-00940-8
PubMed,2026 May,Artificial Intelligence Virtual Organoids (AIVOs).,"Bai L, Su J",https://doi.org/10.1016/j.bioactmat.2025.12.030
arXiv,2026-04-30,Benchmarking virtual cell models for in-the-wild perturbation response,"Xinjie Mao, Songming Zhang, Qianhong Wen, Xiangyu Wen, Kedu Jin, Hao Wu, Shuizhou Chen, Yuqiang Li, Lei Bai, Qi Liu, Ning Ding, Siqi Sun, Zhangyang Gao",http://arxiv.org/abs/2604.27646v1
