来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 Jun 24,Targeting non-canonical antigens unlocks functional T-cell responses in renal cell carcinoma.,"Wang J, Zhu Y, He X, Yin S, He Y, Yao P, Li J, Li X, Shi P, Qian R, Xiao Z, Ye X, Xi JJ, Ye B",https://doi.org/10.1136/jitc-2026-015100
PubMed,2026 Jun 24,Bridging the gap: towards a digital twin to optimize therapeutic cell-seeding strategies in nerve tissue engineering.,"Guillemot-Legris O, Berg M, Smith PO, Phillips JB, Shipley RJ",https://doi.org/10.1098/rsif.2025.0879
