来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 Sep 9,An operational perturbation proteomics-based virtual cell model.,"Sun R, Qian L, Li Y, Liu T, Cheng H, Zhang X, Zhou X, Zhan Y, Zhang G, Luo Z, Ma K, Wu C, Ji D, Xue Z, Meng H, Xiang Y, Lei D, Zhou Q, Hu W, Deng Y, Tan L, Xiao Q, Liu Z, Zeng L, Qian L, Zheng X, Hu Q, Luo N, E W, Zhou P, Wen H, Zhu Y, Guo T",https://doi.org/10.1038/s41586-026-11001-9
PubMed,2026 Sep 11,A systematic comparison of single-cell perturbation response prediction models.,"Li L, You Y, Fu Y, Liao W, Fan X, Lu S, Cao Y, Li B, Ren W, Kong J, Zheng S, Chen J, Liu X, Tian L",https://doi.org/10.1126/sciadv.aed3414
