来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 May,Revisiting the blueprint for an interpretable virtual cell.,Wu AR,https://doi.org/10.1038/s41576-026-00940-8
PubMed,2026 May,Artificial Intelligence Virtual Organoids (AIVOs).,"Bai L, Su J",https://doi.org/10.1016/j.bioactmat.2025.12.030
