来源数据库,发表日期,文章标题,作者列表,DOI 链接
PubMed,2026 Apr 21,scAClc: A Multi-Objective Adaptive Clustering Framework for Single-Cell Transcriptomics via Contrastive and Resolution-Aware Representation Learning.,"Zheng Y, Jin R, Zhang Y, Cheng Y, Wang Y",https://doi.org/10.1021/acs.analchem.5c06601
arXiv,2026-04-21,AblateCell: A Reproduce-then-Ablate Agent for Virtual Cell Repositories,"Xue Xia, Chengkai Yao, Mingyu Tsoi, Xinjie Mao, Wenxuan Huang, Jiaqi Wei, Hao Wu, Cheng Tan, Lang Yu, Yuejin Yang, Siqi Sun, Zhangyang Gao",http://arxiv.org/abs/2604.19606v1
